STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
30,220,76,64,20,77,0,77,41,33,8,1,0,33,503,574,68,506,98,42,244,16,37,373,1,75,8,24,0,203,933,3443
10,220,570,565,90,643,0,643,2793,1691,1102,64,157,732,2253,29165,18003,11162,148,417,1850,41,72,2649,159,1000,165,1860,0,985,21920,68298
2,221,1041,1211,45,499,0,499,780,378,402,30,0,245,5069,13533,3064,10469,768,1076,3273,225,479,31514,206,1920,1584,4927,0,6655,18113,93193
10,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,672,0,0,0,0,1,3,0,0,0,90,783
18,223,80,147,25,65,0,65,32,16,16,52,0,199,1241,2423,610,1813,1312,57,588,18,49,3509,4,332,9,340,0,5,20029,30516
18,224,136,159,68,204,0,204,104,54,50,73,60,398,1689,3572,1166,2406,2308,130,3159,14,56,4836,8,746,151,1055,0,15,85845,104786
18,225,266,241,99,297,0,297,118,83,35,74,101,452,2172,3500,1082,2418,3472,184,1973,31,127,9241,15,1269,168,1473,0,24,97176,122473
31,226,642,319,6,171,0,171,507,366,141,52,7,340,1707,6742,2263,4479,499,177,934,70,251,15755,39,635,88,432,0,6411,40565,76349
33,227,1477,1978,281,311,0,311,928,613,315,105,0,439,699,2997,1295,1702,1071,480,1025,29,120,3040,553,492,170,907,0,1660,9633,28395
33,228,772,721,119,129,0,129,822,502,320,46,3,317,540,2170,1231,939,270,389,760,25,72,1493,330,311,215,714,0,1859,9833,21910
33,229,577,375,168,224,0,224,656,605,51,29,12,241,847,2296,796,1500,464,672,706,37,75,2211,174,288,263,432,0,1772,6544,19063
13,230,769,491,64,501,0,501,1111,851,260,76,409,357,3464,13989,10493,3496,1845,1535,631,38,105,2992,210,420,3648,1985,0,1306,28034,63980
28,231,214,255,15,130,0,130,142,96,46,11,23,21,728,1051,392,659,0,64,855,10,24,1889,30,129,3,276,0,5,2865,8740
13,232,272,225,32,146,0,146,318,209,109,14,45,95,1307,2496,1462,1034,227,108,720,25,57,2075,80,169,83,1016,0,46,6690,16246
33,233,899,802,188,156,0,156,680,518,162,26,9,193,471,1431,651,780,345,246,518,27,20,1253,300,259,222,587,0,611,5098,14341
28,234,192,131,30,105,0,105,160,91,69,4,42,40,613,1141,462,679,0,143,958,5,2,1526,37,70,20,192,0,1492,2434,9337
33,235,990,444,330,243,0,243,610,493,117,74,1,250,568,1250,464,786,211,359,822,9,21,2370,408,364,146,537,0,2138,7061,19206
28,236,59,51,6,53,0,53,65,43,22,0,8,2,120,233,96,137,0,12,175,5,0,351,5,6,0,65,0,111,475,1802
28,237,190,225,15,109,0,109,75,47,28,4,13,13,426,698,261,437,0,107,481,10,22,1738,33,80,0,146,0,376,1272,6033
28,238,409,398,35,222,0,222,229,177,52,8,28,24,950,1673,741,932,0,139,1252,49,59,3032,54,95,27,331,0,927,3214,13155
33,239,1406,1438,270,266,0,266,1361,893,468,140,10,724,755,4329,2381,1948,1137,569,1063,10,80,3403,536,480,480,1123,0,1024,10536,31140
28,240,105,33,16,7,0,7,7,1,6,3,8,10,5,496,76,420,16,11,186,32,3,160,25,22,0,0,0,0,3337,4482
4,241,91,2,0,18,0,18,45,28,17,72,0,94,54,1552,50,1502,107,28,65,3,15,104,2,12,1,30,0,33,1261,3589
14,241,4,1,0,0,0,0,1,0,1,0,0,1,5,30,0,30,6,0,2,0,0,3,0,0,0,0,0,0,59,112
29,241,44,38,6,11,0,11,40,19,21,15,11,61,20,4615,153,4462,57,26,53,11,4,36,9,131,7,1,0,23,3017,8236
